"Account Name","Pitch Type","Pitch: Created Date","Last Modified Date","Pitch: Pitch Number","Pass","Pitched","Funded","Total Evaulation Score","Pitch Date","Pitch: Record Type"
"BEAST","Ready Stage Coaching Sessions","7/6/2021","6/1/2021","P-002229","","","","11","7/6/2021","1. Office Hours"
"Project 2030","Ready Stage Coaching Sessions","7/15/2021","6/21/2021","P-002231","","","","","7/15/2021","1. Office Hours"
"CO-UNITY DATA","Ready Stage Coaching Sessions","7/20/2021","4/14/2021","P-002234","","","","18","7/20/2021","1. Office Hours"
"LINK UP LLC.","Ready Stage Coaching Sessions","7/20/2021","8/13/2021","P-002235","","","","20","7/20/2021","1. Office Hours"
"Grassroots-Fund","Ready Stage Coaching Sessions","7/28/2021","2/27/2021","P-002236","","","","16","7/27/2021","1. Office Hours"
"SOAR","Ready Stage Coaching Sessions","7/28/2021","7/28/2021","P-002239","","","","","7/13/2021","1. Office Hours"
"Pic-Brick","Ready Stage Coaching Sessions","8/3/2021","9/24/2021","P-002241","","","","16","7/27/2021","1. Office Hours"
"SOAR","Ready Stage Pitch","7/28/2021","7/28/2021","P-002237","No","","","","7/27/2021","2. Solution Design Pitch"
"LINK UP LLC.","Ready Stage Pitch","7/28/2021","8/13/2021","P-002238","No","","","","7/26/2021","2. Solution Design Pitch"
"Levee Industries","Set Stage Pitch","7/6/2021","7/6/2021","P-002227","Yes","","","","7/6/2021","3. Business Model Pitch"
"Venova Technologies","Set Stage Pitch","7/20/2021","7/20/2021","P-002233","Yes","","","","7/14/2021","3. Business Model Pitch"
"Close Market","Whiteboarding Session","7/6/2021","6/21/2021","P-002226","","","","","7/6/2021","5. Whiteboarding Session"
"Party By Me","Whiteboarding Session","7/6/2021","4/21/2021","P-002228","","","","","7/6/2021","5. Whiteboarding Session"
"Persist Energy (Formerly DEUSEXVOLT ELECTRIC PVT LTD)","","7/8/2021","4/9/2021","P-002230","","","","","7/8/2021","5. Whiteboarding Session"
"InterCast","Whiteboarding Session","7/28/2021","8/17/2021","P-002240","","","","","7/28/2021","5. Whiteboarding Session"
"Crux Coordination and Design","Ready Stage Coaching Sessions","8/3/2021","7/7/2021","P-002242","","","","8","8/3/2021","1. Office Hours"
"WATZ","Ready Stage Coaching Sessions","8/3/2021","9/13/2021","P-002243","","","","20","8/3/2021","1. Office Hours"
"Our House","Ready Stage Coaching Sessions","8/10/2021","2/19/2021","P-002247","","","","18","8/10/2021","1. Office Hours"
"Pic-Brick","Ready Stage Pitch","8/11/2021","9/24/2021","P-002248","No","","","","8/9/2021","2. Solution Design Pitch"
"LINK UP LLC.","Ready Stage Pitch","8/13/2021","8/13/2021","P-002250","Yes","","","","8/13/2021","2. Solution Design Pitch"
"InterCast","Ready Stage Pitch","8/17/2021","8/17/2021","P-002251","Yes","","","","8/16/2021","2. Solution Design Pitch"
"Change Careers, LLC","Ready Stage Pitch","8/17/2021","3/17/2021","P-002252","No","","","","8/17/2021","2. Solution Design Pitch"
"SocialCall","Set Stage Pitch","8/11/2021","3/2/2021","P-002249","","","","","8/9/2021","3. Business Model Pitch"
"Cara a Cara Mezcal","Gap Funding","8/8/2021","7/20/2021","P-002244","Yes","Yes","Yes","","8/2/2021","4. Gap Funding Pitch"
"Rooted Living","Gap Funding","8/8/2021","6/21/2021","P-002245","Yes","Yes","Yes","","8/2/2021","4. Gap Funding Pitch"
"Uwana Energy","Gap Funding","8/8/2021","6/11/2021","P-002246","No","Yes","No","","8/2/2021","4. Gap Funding Pitch"
"Domno","Ready Stage Coaching Sessions","9/8/2021","9/9/2021","P-002255","","","","11","9/8/2021","1. Office Hours"
"Yulom","Ready Stage Coaching Sessions","9/13/2021","4/11/2021","P-002256","","","","","9/14/2021","1. Office Hours"
"Domno","Ready Stage Coaching Sessions","9/14/2021","9/9/2021","P-002266","","","","","9/8/2021","1. Office Hours"
"Culture Care Collective","Ready Stage Coaching Sessions","9/15/2021","9/9/2021","P-002270","","","","14","9/15/2021","1. Office Hours"
"DormDash","Ready Stage Coaching Sessions","9/22/2021","4/14/2021","P-002273","","","","6","9/21/2021","1. Office Hours"
"Yulom","Ready Stage Coaching Sessions","9/22/2021","4/11/2021","P-002274","","","","15","9/22/2021","1. Office Hours"
"Landing","Ready Stage Coaching Sessions","9/28/2021","9/21/2021","P-002277","","","","15","9/28/2021","1. Office Hours"
"Blacket","Ready Stage Coaching Sessions","9/28/2021","9/9/2021","P-002278","","","","10","9/28/2021","1. Office Hours"
"Meat TBD","Ready Stage Coaching Sessions","9/28/2021","2/19/2021","P-002279","","","","16","9/28/2021","1. Office Hours"
"Players Hall","Ready Stage Coaching Sessions","9/29/2021","10/30/2020","P-002280","","","","10","9/15/2021","1. Office Hours"
"Blacket","Ready Stage Coaching Sessions","9/29/2021","9/9/2021","P-002281","","","","14","9/15/2021","1. Office Hours"
"Players Hall","Ready Stage Coaching Sessions","9/29/2021","10/30/2020","P-002282","","","","14","9/29/2021","1. Office Hours"
"Blacket","Ready Stage Coaching Sessions","9/29/2021","9/9/2021","P-002283","","","","15","9/29/2021","1. Office Hours"
"test","Ready Stage Coaching Sessions","9/30/2021","9/30/2021","P-002284","","","","14","9/30/2021","1. Office Hours"
"Our House","Ready Stage Pitch","9/13/2021","2/19/2021","P-002257","No","","","","9/16/2021","2. Solution Design Pitch"
"WATZ","Ready Stage Pitch","9/13/2021","9/13/2021","P-002258","Yes","","","","9/13/2021","2. Solution Design Pitch"
"Change Careers, LLC","Ready Stage Pitch","9/23/2021","3/17/2021","P-002275","No","","","","9/30/2021","2. Solution Design Pitch"
"Pic-Brick","Ready Stage Pitch","9/24/2021","9/24/2021","P-002276","Yes","","","","9/24/2021","2. Solution Design Pitch"
"Dog Spotted","Set Stage Pitch","9/8/2021","9/8/2021","P-002254","Yes","","","","9/8/2021","3. Business Model Pitch"
"Impropr (formerly Coochie Coolers)","Set Stage Pitch","9/14/2021","9/14/2021","P-002259","Yes","","","","9/14/2021","3. Business Model Pitch"
"Powerhouse","Set Stage Pitch","9/15/2021","9/15/2021","P-002268","Yes","","","","9/14/2021","3. Business Model Pitch"
"Party By Me","Whiteboarding Session","9/16/2021","4/21/2021","P-002272","","","","","9/14/2021","5. Whiteboarding Session"
"Players Hall","Ready Stage Coaching Sessions","10/6/2021","10/30/2020","P-002285","","","","18","10/6/2021","1. Office Hours"
"Landing","Ready Stage Coaching Sessions","10/10/2021","9/21/2021","P-002289","","","","19","10/5/2021","1. Office Hours"
"Chery & Company","Ready Stage Coaching Sessions","10/12/2021","9/21/2021","P-002291","","","","15","10/12/2021","1. Office Hours"
"Sets","Ready Stage Coaching Sessions","10/13/2021","10/30/2020","P-002292","","","","","10/13/2021","1. Office Hours"
"Sets","Ready Stage Coaching Sessions","10/13/2021","10/30/2020","P-002293","","","","4","10/13/2021","1. Office Hours"
"PerZeption Inc.","Ready Stage Coaching Sessions","10/13/2021","10/8/2021","P-002294","","","","18","10/13/2021","1. Office Hours"
"Dorm and Dine","Ready Stage Coaching Sessions","10/13/2021","3/8/2021","P-002295","","","","18","10/13/2021","1. Office Hours"
"Gateway to Blockchain","Ready Stage Coaching Sessions","10/14/2021","10/12/2021","P-002296","","","","11","10/13/2021","1. Office Hours"
"Sexual Violence Connector","Ready Stage Coaching Sessions","10/20/2021","10/7/2021","P-002302","","","","10","10/20/2021","1. Office Hours"
"Meat TBD","Ready Stage Pitch","10/15/2021","2/19/2021","P-002297","","","","","10/18/2021","2. Solution Design Pitch"
